LineRef;LineName
STIF:Line::C00663:;DM2B
STIF:Line::C00040:;6178
STIF:Line::C00839:;54
STIF:Line::C01098:;62
STIF:Line::C02497:;E
STIF:Line::C00752:;110
STIF:Line::C00517:;3930D
STIF:Line::C02146:;S4
STIF:Line::C01971:;14B
STIF:Line::C01557:;95-44
STIF:Line::C00423:;P
STIF:Line::C01843:;T4
STIF:Line::C01478:;12
STIF:Line::C01476:;6
STIF:Line::C02439:;K
STIF:Line::C01295:;346
STIF:Line::C00815:;34
STIF:Line::C00619:;7
STIF:Line::C00139:;95-22
STIF:Line::C00654:;41
STIF:Line::C00520:;13
STIF:Line::C00728:;4
STIF:Line::C01498:;2273
STIF:Line::C01193:;172
STIF:Line::C00174:;19
STIF:Line::C01151:;122
STIF:Line::C01073:;21
STIF:Line::C01571:;Express 91-10
STIF:Line::C01082:;32
STIF:Line::C01124:;93
STIF:Line::C01848:;R
STIF:Line::C01108:;73
STIF:Line::C00916:;21
STIF:Line::C00959:;I
STIF:Line::C00900:;F
STIF:Line::C02625:;46
STIF:Line::C02206:;95-48
STIF:Line::C01125:;94
STIF:Line::C01952:;39
STIF:Line::C00064:;Express 67
STIF:Line::C00414:;Q
STIF:Line::C01991:;61
STIF:Line::C01992:;17
STIF:Line::C01999:;T11
STIF:Line::C01976:;321
STIF:Line::C01978:;323
STIF:Line::C00082:;10-janv
STIF:Line::C01115:;83
STIF:Line::C01097:;61
STIF:Line::C01222:;207
STIF:Line::C00074:;1
STIF:Line::C01680:;35
STIF:Line::C01089:;48
STIF:Line::C02244:;45
STIF:Line::C02118:;09C
STIF:Line::C00340:;402
STIF:Line::C01403:;N62
STIF:Line::C00297:;8
STIF:Line::C02427:;22 (Future 442)
STIF:Line::C01118:;86
STIF:Line::C01249:;261
STIF:Line::C00656:;8
STIF:Line::C00082:;10-janv
STIF:Line::C00590:;S
STIF:Line::C02508:;Soirée Boussy Saint Antoine
STIF:Line::C02509:;Soirée Quincy sous Sénart
STIF:Line::C01648:;N133
STIF:Line::C01260:;281
STIF:Line::C01429:;Filéo Othis (sur réservation)
STIF:Line::C00696:;6205
STIF:Line::C00113:;6217
STIF:Line::C00004:;483
STIF:Line::C01595:;644
STIF:Line::C01574:;602
STIF:Line::C01410:;N71
STIF:Line::C02021:;4308
STIF:Line::C00142:;95-25
STIF:Line::C00106:;21
STIF:Line::C00304:;1511
STIF:Line::C02463:;1527
STIF:Line::C00627:;23
STIF:Line::C00070:;5
STIF:Line::C01528:;415
STIF:Line::C02528:;T10
STIF:Line::C02079:;31C
STIF:Line::C01276:;306
STIF:Line::C01134:;105
STIF:Line::C01214:;194
STIF:Line::C00636:;44
STIF:Line::C01196:;175
