name;MonitoringRef
Angennes;STIF:StopPoint:Q:31987:
Angerville;STIF:StopPoint:Q:41293:
Anizan Cavillon - Hotel de ville;STIF:StopPoint:Q:19404:
Anjou;STIF:StopPoint:Q:33275:
Anjou - Chauveau Lagarde;STIF:StopPoint:Q:27132:
Anna de Noailles;STIF:StopPoint:Q:490879:
Anne Frank;STIF:StopPoint:Q:16424:
Annexe Mairie;STIF:StopPoint:Q:416432:
Annie Fratellini;STIF:StopPoint:Q:486918:
Anny Flore;STIF:StopPoint:Q:490884:
Anouilh;STIF:StopPoint:Q:16390:
Anquetil;STIF:StopPoint:Q:26400:
Ansicourt;STIF:StopPoint:Q:417130:
Antenne;STIF:StopPoint:Q:16392:
Antin;STIF:StopPoint:Q:14510:
Antoine Balard;STIF:StopPoint:Q:8851:
Antoine Baron;STIF:StopPoint:Q:462015:
Antoine Bourdelle;STIF:StopPoint:Q:15520:
Antoine Demusois;STIF:StopPoint:Q:38509:
Antoine Richard;STIF:StopPoint:Q:4220:
Antonin Georges Belin;STIF:StopPoint:Q:7422:
Antony;STIF:StopPoint:Q:473996:
Antony RER;STIF:StopPoint:Q:22886:
Antonypole;STIF:StopPoint:Q:29054:
Anvers;STIF:StopPoint:Q:22123:
Anvers - Sacre Coeur;STIF:StopPoint:Q:28244:
Apollinaire;STIF:StopPoint:Q:19463:
Apremont le Clos;STIF:StopPoint:Q:17520:
Aqualude;STIF:StopPoint:Q:18663:
Aqueduc;STIF:StopPoint:Q:426747:
Aquitaine;STIF:StopPoint:Q:8876:
Arago;STIF:StopPoint:Q:12073:
Arago - Jean Jaures;STIF:StopPoint:Q:28515:
Arago - Saint Jacques;STIF:StopPoint:Q:463998:
Arago - Sante;STIF:StopPoint:Q:464020:
Arboretum;STIF:StopPoint:Q:19137:
Arbouville;STIF:StopPoint:Q:4832:
Arcades;STIF:StopPoint:Q:20298:
Archemont;STIF:StopPoint:Q:417138:
Archeveche;STIF:StopPoint:Q:37194:
Archives;STIF:StopPoint:Q:30804:
Archives - Haudriettes;STIF:StopPoint:Q:29452:
Archives - Rambuteau;STIF:StopPoint:Q:24799:
Archives departementales;STIF:StopPoint:Q:36502:
Arcueil - Cachan;STIF:StopPoint:Q:473979:
Arcueil - Cachan RER;STIF:StopPoint:Q:26800:
Arcy;STIF:StopPoint:Q:16227:
Ardeche;STIF:StopPoint:Q:14822:
Ardenay;STIF:StopPoint:Q:31705:
Ardillieres;STIF:StopPoint:Q:9203:
Ardoines;STIF:StopPoint:Q:41291:
Ardouin - Saint-Pierre;STIF:StopPoint:Q:36398:
Arena;STIF:StopPoint:Q:427630:
Arenas de San Pedro;STIF:StopPoint:Q:33270:
Aren'Ice;STIF:StopPoint:Q:488594:
Argenteuil;STIF:StopPoint:Q:41166:
Argentine;STIF:StopPoint:Q:22088:
Argonne;STIF:StopPoint:Q:479282:
Argonne - Bois de Groslay;STIF:StopPoint:Q:19002:
Aristide Briand;STIF:StopPoint:Q:27653:
Aristide Briand - Champagne;STIF:StopPoint:Q:22918:
Aristide Briand - General De Gaulle;STIF:StopPoint:Q:36450:
Aristide Briand - Le Plant;STIF:StopPoint:Q:28037:
Aristide Briand - Louis Armand;STIF:StopPoint:Q:28880:
Aristide Briand / Ozoir-la-Ferriere;STIF:StopPoint:Q:16402:
Arletty;STIF:StopPoint:Q:20750:
Armainvilliers;STIF:StopPoint:Q:463405:
Armand Carrel - Mairie du 19eme;STIF:StopPoint:Q:26268:
Armand Esders;STIF:StopPoint:Q:19287:
Armand Guillebaud;STIF:StopPoint:Q:12076:
Armieres;STIF:StopPoint:Q:15558:
Armorique;STIF:StopPoint:Q:4359:
Armorique - Musee Postal;STIF:StopPoint:Q:39458:
Armorique - Pasteur;STIF:StopPoint:Q:39399:
Arnaud Massy;STIF:StopPoint:Q:3725:
Arpajon;STIF:StopPoint:Q:2733:
Arpajonnais;STIF:StopPoint:Q:3137:
Arpenty;STIF:StopPoint:Q:20418:
Arpenty Place;STIF:StopPoint:Q:9185:
Arquebuse;STIF:StopPoint:Q:471527:
Arquebuse / La Poste;STIF:StopPoint:Q:470811:
Arras;STIF:StopPoint:Q:27264:
Arret de cars;STIF:StopPoint:Q:14785:
Arret des cars;STIF:StopPoint:Q:15986:
Arromanches;STIF:StopPoint:Q:422970:
Arsenal;STIF:StopPoint:Q:462905:
Art de Vivre;STIF:StopPoint:Q:36907:
Art-de-Vivre;STIF:StopPoint:Q:8782:
Arthelon;STIF:StopPoint:Q:478669:
Arthur Boucher;STIF:StopPoint:Q:15291:
Arthur Rimbaud;STIF:StopPoint:Q:490589:
Artimont D915;STIF:StopPoint:Q:29563:
Artisans;STIF:StopPoint:Q:488401:
Artois;STIF:StopPoint:Q:8829:
Arts;STIF:StopPoint:Q:37951:
Arts et Metiers;STIF:StopPoint:Q:36134:
Arts Martiaux;STIF:StopPoint:Q:39872:
Arvigny;STIF:StopPoint:Q:427565:
Arzillieres;STIF:StopPoint:Q:15294:
Asnieres;STIF:StopPoint:Q:24305:
Asnieres - 18 Juin 1940;STIF:StopPoint:Q:37181:
Asnieres - Bords de Seine;STIF:StopPoint:Q:40880:
Asnieres - Gennevilliers Les Courtilles;STIF:StopPoint:Q:463109:
Asnieres - Quatre Routes;STIF:StopPoint:Q:477913:
ASPTT;STIF:StopPoint:Q:31506:
Assas - Duguay Trouin;STIF:StopPoint:Q:40073:
Assemblee Nationale;STIF:StopPoint:Q:22060:
Assomption - Radio France;STIF:StopPoint:Q:25396:
